# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-t" "exon" "-g" "gene_id" "-a" "/home/lorenzo/univ/bioinfo/refs/Gencode/Gene_Annotations/release35_GRCh37/basic/gencode.v35lift37.basic.annotation.gtf" "-o" "counts.txt" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam" "/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam"
Geneid	Chr	Start	End	Strand	Length	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc1-3.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-1.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-2.bam	/home/lorenzo/univ/lab1/local/rnaseq/bam/bc2-3.bam
ENSG00000145075.13_9	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	180331796;180334069;180334304;180334614;180337047;180349257;180359781;180361908;180364867;180365953;180369189;180369951;180372550;180377240;180377465;180378358;180379649;180379660;180381655;180381655;180397079;180397396;180426556;180428981;180429098;180443303;180455281;180466034;180469136;180499772;180565295;180588588	180332865;180334151;180334483;180334754;180337153;180349380;180359989;180362045;180365031;180366147;180369321;180370054;180372741;180377368;180377557;180378516;180379795;180379795;180381774;180381774;180397170;180397587;180426692;180429007;180429170;180443361;180455662;180466104;180469198;180499912;180565412;180588721	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4978	0	3	1	0	0	3
ENSG00000146521.10_9	chr6;chr6;chr6;chr6;chr6;chr6;chr6	168185217;168186879;168187994;168191627;168191627;168197289;168197289	168186176;168188287;168188287;168191773;168191773;168197552;168197539	-;-;-;-;-;-;-	2780	0	0	2	2	0	1
ENSG00000146666.5_6	chr7;chr7;chr7	47801074;47802971;47805427	47801111;47803176;47806370	+;+;+	1188	1	4	5	5	8	9
ENSG00000147753.9_4	chrY;chrY;chrY;chrY;chrY;chrY;chrY	6317509;6318487;6320956;6321719;6324113;6325200;6325702	6317545;6318648;6321030;6322195;6324226;6325455;6325947	+;+;+;+;+;+;+	1367	0	0	0	0	0	0
ENSG00000147761.8_5	chrY;chrY;chrY;chrY;chrY;chrY;chrY	9544433;9544925;9546154;9548185;9549350;9551732;9552835	9544678;9545180;9546267;9548661;9549424;9551893;9552871	-;-;-;-;-;-;-	1367	0	0	0	0	0	0
ENSG00000149443.7_6	chr20;chr20;chr20	18790372;18805910;18810663	18790759;18805992;18810797	-;-;-	606	0	1	0	0	0	0
ENSG00000149656.8_5	chr20;chr20;chr20;chr20;chr20;chr20	62921738;62926244;62926294;62934504;62942620;62944081	62922087;62926412;62926412;62934912;62942724;62944485	+;+;+;+;+;+	1438	0	1	1	0	0	0
ENSG00000151303.11_9	chr10;chr10;chr10;chr10;chr10;chr10;chr10	88752163;88753119;88754581;88759206;88764082;88767412;88768112	88752226;88753309;88754660;88761493;88764117;88767463;88769960	+;+;+;+;+;+;+	4560	0	1	5	2	0	2
ENSG00000152931.9_6	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	59783620;59783951;59783982;59783990;59784034;59816847;59816847;59816847;59816847;59825231;59825231;59825231;59829759;59829759;59838477;59841929;59841929;59841929	59784250;59784250;59784250;59784250;59784250;59818793;59822245;59817470;59822244;59825370;59825370;59825370;59829846;59829846;59838657;59843374;59843322;59844640	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9151	5	1	4	2	3	2
ENSG00000153363.13_7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	211556078;211556104;211556132;211556136;211556142;211556145;211556172;211556252;211557784;211557784;211563906;211563906;211564958;211564958;211564958;211564958;211564958;211564958;211564958;211564958;211565169;211565169;211565169;211565169;211565169;211565169;211565169;211565253;211568294;211570109;211570109;211570109;211570109;211570109;211570109;211570109;211570109;211571378;211571378;211572719;211595881;211595881;211599553;211599553;211599553;211599553;211599553;211601759;211605661;211605661;211605661;211605661;211605661;211606568;211608697	211556267;211556267;211556267;211556267;211556267;211556267;211556267;211556267;211557876;211557876;211564012;211564012;211565039;211565039;211565039;211565039;211565039;211565039;211565039;211565039;211565318;211565318;211565318;211565318;211565318;211565318;211565318;211565318;211568343;211570173;211570173;211570173;211570173;211570173;211570855;211570173;211570173;211572487;211572561;211572779;211596012;211596042;211599625;211599625;211599625;211599625;211599625;211601917;211605874;211605875;211605876;211605877;211607021;211607430;211608912	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5044	85	88	98	67	109	82
ENSG00000157306.14_6	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	23980969;23982019;23982026;23982426;23983445;23983445;24027904;24027904	23981070;23982082;23982082;23982543;23983625;23983625;24029987;24028369	+;+;+;+;+;+;+;+	2549	10	13	28	11	17	12
ENSG00000161149.12_9	chr22;chr22;chr22;chr22	21362926;21365673;21367331;21368071	21363742;21365879;21367473;21368581	-;-;-;-	1678	0	0	0	0	0	1
ENSG00000162888.4_7	chr1;chr1	206664449;206670927	206666409;206671061	-;-	2096	30	21	50	23	34	45
ENSG00000162913.10_11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	228391540;228392031;228392167;228393025;228397388;228400222;228400222;228401123	228391856;228392134;228394351;228393148;228397465;228400340;228400608;228401365	-;-;-;-;-;-;-;-	3314	4	4	11	3	3	9
ENSG00000162947.5_8	chr2;chr2;chr2;chr2;chr2	150624020;150625834;150660696;150713965;150715557	150624423;150625920;150660734;150715117;150715705	-;-;-;-;-	1832	2	1	2	4	0	3
ENSG00000163081.4_6	chr2;chr2	223162866;223168465	223163092;223169936	+;+	1699	0	0	0	0	0	0
ENSG00000163364.10_9	chr2;chr2;chr2;chr2	177494317;177497761;177498093;177502190	177495160;177497853;177498468;177502378	-;-;-;-	1502	147	204	175	247	292	230
ENSG00000163597.15_5	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	74553848;74553851;74553860;74553874;74554052;74554456;74555027;74555027;74557370;74557370;74557370;74557370;74559201;74559201;74559201;74559201;74560055	74553939;74553939;74555125;74553939;74554361;74554682;74555125;74555125;74557484;74557480;74557480;74557480;74561403;74559564;74561430;74561420;74561361	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3623	593	676	1100	670	767	843
ENSG00000163915.7_6	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	185431040;185431080;185434229;185434229;185439907;185442221;185442726;185446247;185446475;185447461	185431276;185431276;185434372;185435955;185440321;185442392;185442862;185446373;185446658;185447575	+;+;+;+;+;+;+;+;+;+	3114	49	32	70	26	61	46
ENSG00000164385.9_8	chr6;chr6;chr6;chr6	2622181;2631511;2633839;2634799	2624353;2631651;2634026;2634853	-;-;-;-	2557	1	3	4	5	1	4
ENSG00000164621.5_8	chr5;chr5	135465196;135469039	135465470;135470579	-;-	1816	28	25	42	32	25	27
ENSG00000165511.6_8	chr10;chr10	45493146;45495978	45495864;45496336	-;-	3078	19	13	27	12	20	24
ENSG00000166770.11_7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	56988936;56989490;56989526;56989599;57000497;57002946;57005532;57005532;57006417;57006417;57008670;57008670;57011463;57011463;57012902	56989750;56989645;56989750;56989750;57005711;57003135;57006808;57005711;57006806;57006789;57008818;57008818;57011616;57014110;57015731	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11545	1	1	0	2	2	6
ENSG00000166917.11_10	chr10;chr10;chr10	135059983;135061058;135061295	135060554;135061205;135061389	-;-;-	815	0	0	0	0	0	0
ENSG00000167046.4_8	chr20;chr20	61272071;61274366	61273712;61274656	-;-	1933	2	2	5	3	4	5
ENSG00000167459.17_8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	16144368;16144601;16145290;16145290;16145551;16146281;16146281;16146698;16146698;16152249	16144638;16144638;16145447;16145822;16145822;16146532;16146532;16147189;16146827;16152952	+;+;+;+;+;+;+;+;+;+	2252	0	0	0	0	0	1
ENSG00000167912.6_8	chr8;chr8	60031781;60032895	60031844;60036037	+;+	3207	13	10	20	21	18	27
ENSG00000167920.10_10	chr17;chr17;chr17;chr17	38975374;38984309;38989367;38990634	38975460;38984548;38989451;38992518	+;+;+;+	2297	111	160	199	156	237	267
ENSG00000168367.11_9	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	86365450;86365451;86365452;86365458;86366565;86366565;86367294;86367294;86367294;86367294;86368510;86369284;86370967;86370967;86370967;86370967;86371288;86371288;86372356;86372356;86372356;86372356;86382624;86383157;86383157;86383157;86383181	86366284;86366284;86366284;86365785;86366650;86366650;86367513;86367513;86367513;86367513;86368600;86369459;86371214;86371214;86371167;86371198;86372267;86372267;86372438;86372438;86372438;86372438;86382754;86383221;86383256;86383294;86383289	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2988	0	0	0	0	0	0
ENSG00000168746.8_7	chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20;chr20	43064812;43077441;43078600;43079177;43080663;43090403;43090864;43093805;43093805	43065205;43077694;43078730;43079197;43080813;43090922;43090922;43093984;43093989	-;-;-;-;-;-;-;-;-	1656	0	1	0	0	0	0
ENSG00000170161.7_8	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	66553195;66553196;66553273;66553674;66553674;66553702;66554528;66554528	66553558;66553558;66553558;66555928;66553803;66553803;66554728;66555601	+;+;+;+;+;+;+;+	2619	56	35	79	45	73	68
ENSG00000170919.16_7	chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13;chr13	45915480;45915540;45915552;45915554;45915564;45915616;45915618;45915626;45915650;45917561;45918440;45918440;45918464;45918514;45918554;45918889;45926032;45934276;45943936;45944094;45944094;45944094;45944094;45944094;45944094;45944094;45944094;45944215;45950438;45950452;45951196;45951196;45951196;45951196;45951196;45951247;45951275;45952665;45952665;45952665;45952665;45952665;45952665;45952665;45952731;45952746;45953330;45953330;45953330;45953330;45953330;45953330;45954061;45954061;45955208;45955277;45955277;45955277;45957226;45957226;45957226;45957226;45957226;45957226;45957226;45957226;45957295;45957895;45957895;45957895;45957895;45963168;45963870;45963870;45963870;45963870;45963870;45963870;45963870;45963870;45964849;45964849;45964849;45964849;45964849;45964893;45964893;45965167;45965167;45965167;45965167;45965167;45965167;45965167;45965167;45965167;45966225;45966225;45991635	45915522;45915749;45915765;45915765;45915749;45915765;45915749;45915765;45915765;45917675;45918581;45918581;45918581;45918581;45918581;45919044;45926149;45934374;45944051;45944317;45944317;45944317;45944317;45944317;45944317;45944317;45944317;45944317;45951350;45951350;45951350;45951350;45951289;45951350;45951350;45951350;45951350;45953470;45954136;45952806;45952806;45952806;45952806;45952806;45952806;45952806;45953470;45953470;45954136;45953470;45953470;45953470;45954136;45954136;45955352;45955352;45955352;45955352;45957370;45957370;45957304;45957370;45957370;45957370;45957304;45957370;45957370;45957973;45957978;45957973;45957973;45965037;45963955;45963955;45963955;45963955;45963955;45963955;45963955;45963955;45965037;45965037;45965037;45965037;45965037;45965037;45965037;45965854;45965821;45965837;45965829;45965862;45965811;45965754;45965754;45967548;45966585;45966325;45992110	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8726	127	169	217	111	204	198
ENSG00000170983.4_7	chr8;chr8;chr8;chr8;chr8;chr8;chr8	11433787;11433799;11434629;11435338;11435879;11440013;11440212	11434529;11434826;11434826;11435788;11436150;11440089;11440326	+;+;+;+;+;+;+	1955	0	0	0	0	0	0
ENSG00000171671.6_6	chr11;chr11;chr11	70708895;70709390;70709893	70708972;70709666;70711220	+;+;+	1683	1	0	3	2	1	1
ENSG00000171889.5_8	chr9;chr9;chr9;chr9	21453846;21476898;21477168;21559488	21455943;21477034;21477291;21559830	-;-;-;-	2702	0	0	0	0	0	0
ENSG00000171987.3_8	chr11;chr11;chr11;chr11	4592653;4593386;4594536;4598910	4592859;4593524;4594702;4599050	-;-;-;-	654	0	0	0	0	0	0
ENSG00000172460.17_7	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	2889569;2889569;2889569;2889569;2889569;2889657;2890149;2890149;2890149;2890811;2891164;2891164;2891164;2891164;2891574;2891681;2891681;2891681;2891681;2892450;2892609	2889932;2889932;2889932;2889932;2889932;2889932;2891600;2890309;2892639;2891080;2891329;2891329;2891329;2891329;2891600;2892745;2891772;2891772;2891849;2892477;2892711	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2961	2	8	7	2	4	1
