"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051783","GO:0051783","regulation of nuclear division","15/442","197/18747",7.06296439500884e-05,7.06296439500884e-05,0.0252374249291512,"RGCC/IK/PTTG1/CENPE/RIOK2/NEK2/SLF1/SMC1A/APC/SPDL1/SMC3/DLGAP5/FBXO5/MACROH2A1/KIF11",15
"GO:0051306","GO:0051306","mitotic sister chromatid separation","8/442","60/18747",7.83315610584333e-05,7.83315610584333e-05,0.0256570218414202,"IK/PTTG1/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",8
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","6/442","32/18747",8.94111764994339e-05,8.94111764994339e-05,0.0270333063197479,"CHAMP1/CENPE/NEK2/KNL1/ECT2/APC",6
"GO:1905818","GO:1905818","regulation of chromosome separation","8/442","62/18747",9.93461910404849e-05,9.93461910404849e-05,0.0278916298755768,"IK/PTTG1/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",8
"GO:0048285","GO:0048285","organelle fission","25/442","473/18747",0.000158271302955938,0.000158271302955938,0.0414726347535069,"RGCC/CHAMP1/BNIP3/IK/MX1/PTTG1/CTDP1/MYBL1/CENPE/RIOK2/MSH3/NEK2/KIF2A/SLF1/SLC25A46/SMC1A/APC/NSL1/SPDL1/NCAPG/SMC3/DLGAP5/FBXO5/MACROH2A1/KIF11",25
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","7/442","51/18747",0.000182490134886787,0.000182490134886787,0.0448301423465305,"IK/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",7
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","7/442","53/18747",0.00023333162439375,0.00023333162439375,0.0539480052932671,"IK/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",7
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","7/442","54/18747",0.0002627161684933,0.0002627161684933,0.0573673785470165,"IK/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",7
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","7/442","56/18747",0.000330403092588431,0.000330403092588431,0.0683504236966871,"IK/CENPE/RIOK2/APC/SPDL1/DLGAP5/FBXO5",7
"GO:0034501","GO:0034501","protein localization to kinetochore","4/442","17/18747",0.000568474455101743,0.000568474455101743,0.111720190281574,"CHAMP1/IK/KNL1/SPDL1",4
"GO:0000280","GO:0000280","nuclear division","22/442","434/18747",0.000678186361090646,0.000678186361090646,0.126934730441728,"RGCC/CHAMP1/IK/PTTG1/CTDP1/MYBL1/CENPE/RIOK2/MSH3/NEK2/KIF2A/SLF1/SMC1A/APC/NSL1/SPDL1/NCAPG/SMC3/DLGAP5/FBXO5/MACROH2A1/KIF11",22
"GO:0034502","GO:0034502","protein localization to chromosome","8/442","83/18747",0.000754022229888009,0.000754022229888009,0.134713828057504,"ESCO2/CHAMP1/IK/EZH2/KNL1/SLF1/SPDL1/MACROH2A1",8
"GO:0050886","GO:0050886","endocrine process","8/442","86/18747",0.000954130229558276,0.000954130229558276,0.163053651129089,"C1QTNF1/INHBA/EDN2/F2R/CYBA/SELENOM/ECE1/KRAS",8
