NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	204		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	122	121		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	285	285		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119	119		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86	85		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77	77		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	338	338		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24	24		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174	170		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	542		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96	96		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	483	477		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76	76		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144	144		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	58	58		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	375		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216	216		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	136	134		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81	81		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644		Rejected!	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187	187		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	172	171		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175	174		
BUFFA_HYPOXIA_METAGENE	50	50		
NAKAMURA_CANCER_MICROENVIRONMENT_UP	28	27		
NAKAMURA_CANCER_MICROENVIRONMENT_DN	46	46		
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	22	22		
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	20	20		
WINTER_HYPOXIA_UP	95	95		
WINTER_HYPOXIA_DN	52	52		
PARENT_MTOR_SIGNALING_UP	568		Rejected!	
PARENT_MTOR_SIGNALING_DN	44	44		
PYEON_HPV_POSITIVE_TUMORS_UP	99	99		
PYEON_HPV_POSITIVE_TUMORS_DN	10		Rejected!	
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	284	283		
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	644		Rejected!	
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	211	211		
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	137	136		
LU_TUMOR_VASCULATURE_UP	29	29		
LU_TUMOR_VASCULATURE_DN	13		Rejected!	
KORKOLA_EMBRYONAL_CARCINOMA_UP	42	42		
KORKOLA_EMBRYONAL_CARCINOMA_DN	13		Rejected!	
KORKOLA_TERATOMA_UP	17	17		
KORKOLA_YOLK_SAC_TUMOR_UP	20	20		
KORKOLA_CHORIOCARCINOMA_UP	6		Rejected!	
KORKOLA_CHORIOCARCINOMA_DN	11		Rejected!	
KORKOLA_SEMINOMA_UP	44	44		
KORKOLA_SEMINOMA_DN	13		Rejected!	
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	113	110		
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	93	93		
HOLLMANN_APOPTOSIS_VIA_CD40_UP	203	200		
HOLLMANN_APOPTOSIS_VIA_CD40_DN	267	265		
LIU_PROSTATE_CANCER_UP	98	98		
LIU_PROSTATE_CANCER_DN	491	490		
LIU_SOX4_TARGETS_UP	139	138		
LIU_SOX4_TARGETS_DN	310	309		
ONKEN_UVEAL_MELANOMA_UP	790		Rejected!	
ONKEN_UVEAL_MELANOMA_DN	529		Rejected!	
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	206	205		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180	180		
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	352	350		
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	85	85		
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_UP	60	60		
DAVICIONI_PAX_FOXO1_SIGNATURE_IN_ARMS_DN	20	20		
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	20	20		
FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN	6		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_UP	11		Rejected!	
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	22	22		
NAM_FXYD5_TARGETS_DN	18	18		
FRASOR_TAMOXIFEN_RESPONSE_UP	51	51		
FRASOR_TAMOXIFEN_RESPONSE_DN	12		Rejected!	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	136	135		
KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN	10		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP	302	301		
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	358	358		
WATANABE_COLON_CANCER_MSI_VS_MSS_UP	29	29		
WATANABE_COLON_CANCER_MSI_VS_MSS_DN	69	69		
KOBAYASHI_EGFR_SIGNALING_6HR_UP	7		Rejected!	
KOBAYASHI_EGFR_SIGNALING_6HR_DN	18	18		
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	154	153		
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN	53	53		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	26	26		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	467	465		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_UP	30	30		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	39	39		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_UP	39	39		
GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	66	65		
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	147	145		
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	402	401		
ZERBINI_RESPONSE_TO_SULINDAC_UP	9		Rejected!	
ZERBINI_RESPONSE_TO_SULINDAC_DN	6		Rejected!	
IGARASHI_ATF4_TARGETS_UP	5		Rejected!	
IGARASHI_ATF4_TARGETS_DN	98	98		
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	187	185		
ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN	71	71		
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP	339	339		
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	179	178		
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_UP	258	258		
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN	66	66		
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_UP	64	64		
DAVICIONI_RHABDOMYOSARCOMA_PAX_FOXO1_FUSION_DN	14		Rejected!	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	402	398		
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	174	173		
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	66	66		
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP	46	46		
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	202	201		
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_UP	73	73		
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	70	69		
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	23	22		
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_DN	7		Rejected!	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	70	70		
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_DN	91	91		
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	96	96		
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	74	74		
CHANDRAN_METASTASIS_TOP50_UP	37	37		
CHANDRAN_METASTASIS_TOP50_DN	44	44		
WILCOX_RESPONSE_TO_PROGESTERONE_UP	153	153		
WILCOX_RESPONSE_TO_PROGESTERONE_DN	62	61		
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	585		Rejected!	
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	454	452		
GARY_CD5_TARGETS_UP	473	472		
GARY_CD5_TARGETS_DN	440	440		
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	449	448		
ZHOU_INFLAMMATORY_RESPONSE_LIVE_DN	377	376		
SAMOLS_TARGETS_OF_KHSV_MIRNAS_UP	8		Rejected!	
SAMOLS_TARGETS_OF_KHSV_MIRNAS_DN	59	59		
HOOI_ST7_TARGETS_UP	92	92		
HOOI_ST7_TARGETS_DN	117	117		
PRAMOONJAGO_SOX4_TARGETS_UP	52	52		
PRAMOONJAGO_SOX4_TARGETS_DN	49	49		
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	79	78		
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	146	145		
PIEPOLI_LGI1_TARGETS_UP	17	17		
PIEPOLI_LGI1_TARGETS_DN	17	17		
THUM_SYSTOLIC_HEART_FAILURE_UP	429	427		
THUM_SYSTOLIC_HEART_FAILURE_DN	206	205		
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	173	173		
CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN	669		Rejected!	
CORRE_MULTIPLE_MYELOMA_UP	77	77		
CORRE_MULTIPLE_MYELOMA_DN	58	58		
HUTTMANN_B_CLL_POOR_SURVIVAL_UP	285	285		
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	59	59		
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	1399		Rejected!	
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	117	117		
CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	39	39		
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP	367	365		
DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	324	323		
LIU_CMYB_TARGETS_UP	164	163		
LIU_CMYB_TARGETS_DN	6		Rejected!	
LIU_VMYB_TARGETS_UP	125	124		
LIU_TARGETS_OF_VMYB_VS_CMYB_UP	15	15		
LIU_TARGETS_OF_VMYB_VS_CMYB_DN	44	44		
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	385	384		
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	455	455		
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	453	451		
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	465	464		
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	125	123		
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	52	51		
DOANE_BREAST_CANCER_CLASSES_UP	71	71		
DOANE_BREAST_CANCER_CLASSES_DN	33	33		
DOANE_RESPONSE_TO_ANDROGEN_UP	184	183		
DOANE_RESPONSE_TO_ANDROGEN_DN	242	242		
DOANE_BREAST_CANCER_ESR1_UP	111	111		
DOANE_BREAST_CANCER_ESR1_DN	47	47		
WANG_RESPONSE_TO_ANDROGEN_UP	28	28		
WANG_RESPONSE_TO_FORSKOLIN_UP	22	22		
WANG_RESPONSE_TO_FORSKOLIN_DN	9		Rejected!	
TIMOFEEVA_GROWTH_STRESS_VIA_STAT1_DN	16	16		
LAIHO_COLORECTAL_CANCER_SERRATED_UP	115	115		
LAIHO_COLORECTAL_CANCER_SERRATED_DN	86	85		
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	311	309		
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	105	105		
ROY_WOUND_BLOOD_VESSEL_UP	50	49		
ROY_WOUND_BLOOD_VESSEL_DN	23	22		
GRABARCZYK_BCL11B_TARGETS_UP	81	81		
GRABARCZYK_BCL11B_TARGETS_DN	60	59		
NEWMAN_ERCC6_TARGETS_UP	26	26		
NEWMAN_ERCC6_TARGETS_DN	39	39		
HORIUCHI_WTAP_TARGETS_UP	308	307		
HORIUCHI_WTAP_TARGETS_DN	317	315		
GAL_LEUKEMIC_STEM_CELL_UP	128	128		
GAL_LEUKEMIC_STEM_CELL_DN	235	235		
CHOI_ATL_CHRONIC_VS_ACUTE_DN	19	19		
BASAKI_YBX1_TARGETS_UP	292	292		
BASAKI_YBX1_TARGETS_DN	392	391		
NOJIMA_SFRP2_TARGETS_UP	32	32		
NOJIMA_SFRP2_TARGETS_DN	26	26		
WIKMAN_ASBESTOS_LUNG_CANCER_UP	17	17		
WIKMAN_ASBESTOS_LUNG_CANCER_DN	30	29		
RODRIGUES_DCC_TARGETS_UP	6		Rejected!	
RODRIGUES_DCC_TARGETS_DN	119	119		
RODRIGUES_NTN1_TARGETS_UP	17	17		
RODRIGUES_NTN1_TARGETS_DN	160	159		
WANG_LMO4_TARGETS_UP	364	359		
WANG_LMO4_TARGETS_DN	357	357		
WANG_CLIM2_TARGETS_UP	261	260		
WANG_CLIM2_TARGETS_DN	181	180		
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	176	176		
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	145	144		
VECCHI_GASTRIC_CANCER_EARLY_UP	434	433		
VECCHI_GASTRIC_CANCER_EARLY_DN	380	380		
BARRIER_COLON_CANCER_RECURRENCE_UP	42	42		
BARRIER_COLON_CANCER_RECURRENCE_DN	19	18		
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	159	158		
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN	5		Rejected!	
SLEBOS_HEAD_AND_NECK_CANCER_WITH_HPV_UP	79	79		
JAEGER_METASTASIS_UP	46	45		
JAEGER_METASTASIS_DN	258	256		
OSMAN_BLADDER_CANCER_UP	398	397		
OSMAN_BLADDER_CANCER_DN	423	420		
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	68	68		
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	333	333		
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	109	109		
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	184	183		
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	221	221		
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	280	279		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_UP	32	32		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	23	23		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_UP	83	83		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TURQUOISE_DN	56	55		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP	16	16		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_DN	26	26		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_UP	28	28		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN	12		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP	11		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP	26	26		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_DN	24	24		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	139	139		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	62	62		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_UP	35	35		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN	11		Rejected!	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_UP	19	19		
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	79	79		
RUNNE_GENDER_EFFECT_UP	9		Rejected!	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_UP	86	86		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_6HR_DN	44	44		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	183	183		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_DN	30	30		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	156	156		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	204	201		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	194	194		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	150	149		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP	177	177		
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	127	126		
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_UP	14		Rejected!	
LOPEZ_MESOTELIOMA_SURVIVAL_TIME_DN	7		Rejected!	
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	31	30		
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	33	33		
BILBAN_B_CLL_LPL_UP	64	64		
BILBAN_B_CLL_LPL_DN	42	41		
HOEBEKE_LYMPHOID_STEM_CELL_UP	97	97		
HOEBEKE_LYMPHOID_STEM_CELL_DN	88	88		
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	32	32		
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	22	22		
AKL_HTLV1_INFECTION_UP	27	27		
AKL_HTLV1_INFECTION_DN	69	68		
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	76	76		
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	368	366		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_UP	262	262		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	125	125		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	129	129		
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_DN	76	75		
MULLIGHAN_MLL_SIGNATURE_1_UP	384	382		
MULLIGHAN_MLL_SIGNATURE_1_DN	238	236		
MULLIGHAN_MLL_SIGNATURE_2_UP	420	419		
MULLIGHAN_MLL_SIGNATURE_2_DN	278	276		
MULLIGHAN_NPM1_SIGNATURE_3_UP	332	332		
MULLIGHAN_NPM1_SIGNATURE_3_DN	161	160		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_UP	15	15		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_GRANULOCYTE_DN	7		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	184	184		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	193	192		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP	54	54		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_DN	18	18		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	203	203		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_DN	56	56		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	159	159		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN	18	18		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP	21	21		
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN	10		Rejected!	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINDED_IN_ERYTHROCYTE_UP	44	44		
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_UP	14		Rejected!	
LOPEZ_MESOTHELIOMA_SURVIVAL_WORST_VS_BEST_DN	7		Rejected!	
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	53	53		
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	42	42		
DITTMER_PTHLH_TARGETS_UP	113	113		
DITTMER_PTHLH_TARGETS_DN	70	70		
UDAYAKUMAR_MED1_TARGETS_UP	135	134		
UDAYAKUMAR_MED1_TARGETS_DN	244	244		
ODONNELL_TFRC_TARGETS_UP	427	425		
ODONNELL_TFRC_TARGETS_DN	137	136		
ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	82	82		
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	47	46		
SENESE_HDAC1_TARGETS_UP	451	449		
SENESE_HDAC1_TARGETS_DN	266	265		
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	243	242		
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	238	238		
SENESE_HDAC2_TARGETS_UP	116	115		
SENESE_HDAC2_TARGETS_DN	133	133		
SENESE_HDAC3_TARGETS_UP	494	490		
SENESE_HDAC3_TARGETS_DN	547		Rejected!	
LEE_NEURAL_CREST_STEM_CELL_UP	147	147		
LEE_NEURAL_CREST_STEM_CELL_DN	122	122		
HUMMEL_BURKITTS_LYMPHOMA_UP	43	43		
HUMMEL_BURKITTS_LYMPHOMA_DN	15	15		
TIEN_INTESTINE_PROBIOTICS_2HR_UP	30	30		
TIEN_INTESTINE_PROBIOTICS_2HR_DN	89	89		
TIEN_INTESTINE_PROBIOTICS_6HR_UP	53	53		
TIEN_INTESTINE_PROBIOTICS_6HR_DN	170	170		
TIEN_INTESTINE_PROBIOTICS_24HR_UP	561		Rejected!	
TIEN_INTESTINE_PROBIOTICS_24HR_DN	215	215		
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	515		Rejected!	
ZHOU_INFLAMMATORY_RESPONSE_FIMA_DN	278	278		
ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	406	405		
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	1289		Rejected!	
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	333	332		
SABATES_COLORECTAL_ADENOMA_SIZE_UP	23	23		
SABATES_COLORECTAL_ADENOMA_SIZE_DN	13		Rejected!	
SABATES_COLORECTAL_ADENOMA_UP	140	140		
SABATES_COLORECTAL_ADENOMA_DN	299	298		
SCIBETTA_KDM5B_TARGETS_UP	19	19		
SCIBETTA_KDM5B_TARGETS_DN	79	79		
NAGASHIMA_NRG1_SIGNALING_UP	172	172		
NAGASHIMA_NRG1_SIGNALING_DN	54	53		
NAGASHIMA_EGF_SIGNALING_UP	57	57		
KIM_WT1_TARGETS_UP	217	217		
KIM_WT1_TARGETS_DN	471	470		
KIM_WT1_TARGETS_8HR_UP	167	167		
KIM_WT1_TARGETS_8HR_DN	125	125		
KIM_WT1_TARGETS_12HR_UP	166	166		
KIM_WT1_TARGETS_12HR_DN	216	216		
ELVIDGE_HYPOXIA_UP	172	171		
