GO:0070060	'de_novo'_actin_filament_nucleation
GO:0018784	(s)_2_haloacid_dehalogenase_activity
GO:0003973	(s)_2_hydroxy_acid_oxidase_activity
GO:0047050	(s)_2_hydroxy_fatty_acid_dehydrogenase_activity
GO:0047510	(s)_2_methylmalate_dehydratase_activity
GO:0047298	(s)_3_amino_2_methylpropionate_transaminase_activity
GO:0047109	(s)_3_hydroxyacid_ester_dehydrogenase_activity
GO:0043889	(s)_3_o_geranylgeranylglyceryl_phosphate_synthase_activity
GO:0018531	(s)_6_hydroxynicotine_oxidase_activity
GO:0047056	(s)_canadine_synthase_activity
GO:0047041	(s)_carnitine_3_dehydrogenase_activity
GO:0047053	(s)_cheilanthifoline_synthase_activity
GO:0047777	(s)_citramalyl_coa_lyase_activity
GO:0030794	(s)_coclaurine_n_methyltransferase_activity
GO:0102963	(s)_corytuberine_synthase_activity
GO:0043841	(s)_lactate_2_kinase_activity
GO:0052601	(s)_limonene_1,2_monooxygenase_activity
GO:0106324	(s)_limonene_1,2_monooxygenase_nadh_activity
GO:0106323	(s)_limonene_1,2_monooxygenase_nadph_activity
GO:0018674	(s)_limonene_3_monooxygenase_activity
GO:0018675	(s)_limonene_6_monooxygenase_activity
GO:0018676	(s)_limonene_7_monooxygenase_activity
GO:0033720	(s)_mandelate_dehydrogenase_activity
GO:0047511	(s)_methylmalonyl_coa_hydrolase_activity
GO:0050536	(s)_n_acetyl_1_phenylethylamine_hydrolase_activity
GO:0102632	(s)_nandinine_synthase_activity
GO:0050474	(s)_norcoclaurine_synthase_activity
GO:0102917	(s)_reticuline_7_o_methyltransferase_activity
GO:1901012	(s)_reticuline_biosynthetic_process
GO:1901011	(s)_reticuline_catabolic_process
GO:1901010	(s)_reticuline_metabolic_process
GO:0030777	(s)_scoulerine_9_o_methyltransferase_activity
GO:1901009	(s)_scoulerine_biosynthetic_process
GO:1901008	(s)_scoulerine_catabolic_process
GO:1901007	(s)_scoulerine_metabolic_process
GO:0047052	(s)_stylopine_synthase_activity
GO:0030782	(s)_tetrahydroprotoberberine_n_methyltransferase_activity
GO:0046998	(s)_usnate_reductase_activity
GO:0047512	(s,s)_butanediol_dehydrogenase_activity
GO:0102165	(z)_3_hexen_1_ol_acetyltransferase_activity
GO:0052683	(z)_gamma_bisabolene_synthase_activity
GO:1900879	(z)_nonadeca_1,14_diene_biosynthetic_process
GO:1900878	(z)_nonadeca_1,14_diene_metabolic_process
GO:0102931	(z,e)_alpha__farnesene_synthase_activity
GO:0042188	1,1,1_trichloro_2,2_bis_(4_chlorophenyl)ethane_catabolic_process
GO:0018977	1,1,1_trichloro_2,2_bis_(4_chlorophenyl)ethane_metabolic_process
GO:0018699	1,1,1_trichloroethane_reductive_dehalogenase_activity
GO:0050697	1,1,2_trichloroethene_reductive_dehalogenase_activity
GO:0018829	1,1_dichloro_2,2_bis(4_chlorophenyl)ethane_dehydrochlorinase_activity
GO:0018702	1,1_dichloro_2,2_bis(4_chlorophenyl)ethene_dehalogenase_activity
GO:0018559	1,1_dichloro_2_(dihydroxy_4_chlorophenyl)_(4_chlorophenyl)ethene_1,2_dioxygenase_activity
GO:0034949	1,1_dichloroethane_reductive_dehalogenase_activity
GO:0018976	1,2,3_tribromopropane_metabolic_process
GO:0018911	1,2,4_trichlorobenzene_metabolic_process
GO:0047513	1,2_alpha_l_fucosidase_activity
GO:0047207	1,2_beta_fructan_1f_fructosyltransferase_activity
GO:0034561	1,2_bis(4_hydroxyphenyl)_2_proponol_dehydratase_activity
GO:0047128	1,2_dehydroreticulinium_reductase_(nadph)_activity
GO:0006653	1,2_diacyl_sn_glycero_3_phosphocholine_metabolic_process
GO:0046509	1,2_diacylglycerol_3_beta_galactosyltransferase_activity
GO:0047228	1,2_diacylglycerol_3_glucosyltransferase_activity
GO:0102259	1,2_diacylglycerol_acylhydrolase_activity
GO:0019260	1,2_dichloroethane_catabolic_process
GO:0018899	1,2_dichloroethane_metabolic_process
GO:0018705	1,2_dichloroethene_reductive_dehalogenase_activity
GO:0050615	1,2_dihydrovomilenine_reductase_activity
GO:0034826	1,2_dihydroxy_1,2,5,6,7,8_hexyhadronaphthalene_dehydrogenase_activity
GO:0034827	1,2_dihydroxy_5,6,7,8_tetrahydronaphthalene_extradiol_dioxygenase_activity
GO:0018521	1,2_dihydroxy_6_methylcyclohexa_3,5_dienecarboxylate_dehydrogenase_activity
GO:0034533	1,2_dihydroxy_7_hydroxymethylnaphthalene_dioxygenase_activity
GO:0034527	1,2_dihydroxy_8_carboxynaphthalene_dioxygenase_activity
GO:0034535	1,2_dihydroxy_8_methylnaphthalene_dioxygenase_activity
GO:0018718	1,2_dihydroxy_phenanthrene_glycosyltransferase_activity
GO:0018557	1,2_dihydroxyfluorene_1,1_alpha_dioxygenase_activity
GO:0018566	1,2_dihydroxynaphthalene_6_sulfonate_1,8a_dioxygenase_activity
GO:0018554	1,2_dihydroxynaphthalene_dioxygenase_activity
GO:0102949	1,2_rhamnosyltransferase_activity
GO:0018777	1,3,4,6_tetrachloro_1,4_cyclohexadiene_halidohydrolase_activity
GO:0102634	1,3,6,8_tetrahydroxynaphthalene_monooxygenase_(quinone_forming)_activity
GO:0033932	1,3_alpha_l_fucosidase_activity
GO:0047514	1,3_beta_d_glucan_phosphorylase_activity
GO:0003843	1,3_beta_d_glucan_synthase_activity
GO:0000148	1,3_beta_d_glucan_synthase_complex
GO:0050500	1,3_beta_galactosyl_n_acetylhexosamine_phosphorylase_activity
GO:0042124	1,3_beta_glucanosyltransferase_activity
GO:0047515	1,3_beta_oligoglucan_phosphorylase_activity
GO:0102258	1,3_diacylglycerol_acylhydrolase_activity
GO:0046309	1,3_dichloro_2_propanol_biosynthetic_process
GO:0046310	1,3_dichloro_2_propanol_catabolic_process
GO:0018902	1,3_dichloro_2_propanol_metabolic_process
GO:0018903	1,3_dichloropropene_metabolic_process
GO:0047516	1,3_propanediol_dehydrogenase_activity
GO:0032001	1,4_alpha_glucan_6_alpha_glucosyltransferase_activity
GO:0003844	1,4_alpha_glucan_branching_enzyme_activity
GO:0102752	1,4_alpha_glucan_branching_enzyme_activity_(using_a_glucosylated_glycogenin_as_primer_for_glycogen_synthesis)
GO:0004645	1,4_alpha_oligoglucan_phosphorylase_activity
GO:0047517	1,4_beta_d_xylan_synthase_activity
GO:0019261	1,4_dichlorobenzene_catabolic_process
GO:0018912	1,4_dichlorobenzene_metabolic_process
GO:0046428	1,4_dihydroxy_2_naphthoate_octaprenyltransferase_activity
GO:0008935	1,4_dihydroxy_2_naphthoyl_coa_synthase_activity
GO:0061522	1,4_dihydroxy_2_naphthoyl_coa_thioesterase_activity
GO:0050490	1,4_lactonase_activity
GO:1901803	1,5_anhydro_d_fructose_biosynthetic_process
GO:1901802	1,5_anhydro_d_fructose_catabolic_process
GO:0033992	1,5_anhydro_d_fructose_dehydratase_activity
GO:1901801	1,5_anhydro_d_fructose_metabolic_process
GO:0033712	1,5_anhydro_d_fructose_reductase_(1,5_anhydro_d_mannitol_forming)_activity
GO:0050571	1,5_anhydro_d_fructose_reductase_activity
GO:0033938	1,6_alpha_l_fucosidase_activity
GO:0097175	1,6_anhydro_n_acetyl_beta_muramic_acid_catabolic_process
GO:0097174	1,6_anhydro_n_acetyl_beta_muramic_acid_metabolic_process
GO:0047116	1,6_dihydroxycyclohexa_2,4_diene_1_carboxylate_dehydrogenase_activity
GO:0102320	1,8_cineole_2_exo_monooxygenase_activity
GO:0102313	1,8_cineole_synthase_activity
GO:0140614	1,8_dihydroxynaphthalene_melanin_biosynthetic_process
GO:0050643	10_deacetylbaccatin_iii_10_o_acetyltransferase_activity
GO:0009257	10_formyltetrahydrofolate_biosynthetic_process
GO:0009258	10_formyltetrahydrofolate_catabolic_process
GO:0009256	10_formyltetrahydrofolate_metabolic_process
GO:0033885	10_hydroxy_9_(phosphonooxy)octadecanoate_phosphatase_activity
GO:0030779	10_hydroxydihydrosanguinarine_10_o_methyltransferase_activity
GO:0102968	10_hydroxygeranial_oxidoreductase_activity
GO:0102967	10_hydroxygeraniol_oxidoreductase_activity
GO:0050639	10_hydroxytaxane_o_acetyltransferase_activity
GO:0102969	10_oxogeraniol_oxidoreductase_activity
GO:0070523	11_beta_hydroxysteroid_dehydrogenase_(nad+)_activity
GO:0070524	11_beta_hydroxysteroid_dehydrogenase_(nadp+)_activity
GO:0003845	11_beta_hydroxysteroid_dehydrogenase_[nad(p)]_activity
GO:0061899	11_cis_retinal_3,4_desaturase_activity
GO:0005502	11_cis_retinal_binding
GO:0102354	11_cis_retinol_dehydrogenase_activity
GO:0047520	11_cis_retinyl_palmitate_hydrolase_activity
GO:1903878	11_deoxycorticosterone_binding
GO:0102635	11_deoxycorticosterone_reductase_activity
GO:1903876	11_deoxycortisol_binding
GO:0102056	11_hydroxyjasmonate_sulfotransferase_activity
GO:0036133	11_hydroxythromboxane_b2_dehydrogenase_activity
GO:0030766	11_o_demethyl_17_o_deacetylvindoline_o_methyltransferase_activity
GO:0102375	11_oxo_beta_amyrin_30_oxidase_activity
GO:1902383	11_oxo_beta_amyrin_biosynthetic_process
GO:1902382	11_oxo_beta_amyrin_catabolic_process
GO:1902381	11_oxo_beta_amyrin_metabolic_process
GO:0102369	11alpha_30_dihydroxy_beta_amyrin_dehydrogenase_activity
GO:0102291	11alpha_hydroxy_beta_amyrin_dehydrogenase_activity
GO:1903879	11beta_hydroxyprogesterone_binding
GO:0102603	12_demethyl_elloramycin_c12a_o_methyltransferase_activity
GO:0030780	12_hydroxydihydrochelirubine_12_o_methyltransferase_activity
GO:0036134	12_hydroxyheptadecatrienoic_acid_synthase_activity
GO:0102055	12_hydroxyjasmonate_sulfotransferase_activity
GO:0016629	12_oxophytodienoate_reductase_activity
GO:0047229	13_hydroxydocosanoate_13_beta_glucosyltransferase_activity
GO:0047203	13_hydroxylupinine_o_tigloyltransferase_activity
GO:0036185	13_lipoxin_reductase_activity
GO:0036132	13_prostaglandin_reductase_activity
GO:0106298	13_series_resolvin_biosynthetic_process
GO:0071889	14_3_3_protein_binding
GO:0102646	14betah_scalarane_17alpha_19_diol_synthase_activity
GO:0050617	15,16_dihydrobiliverdin:ferredoxin_oxidoreductase_activity
GO:0046905	15_cis_phytoene_synthase_activity
GO:0047034	15_hydroxyicosatetraenoate_dehydrogenase_activity
GO:0047020	15_hydroxyprostaglandin_d_dehydrogenase_(nadp+)_activity
GO:0016404	15_hydroxyprostaglandin_dehydrogenase_(nad+)_activity
GO:0047021	15_hydroxyprostaglandin_dehydrogenase_(nadp+)_activity
GO:0047033	15_hydroxyprostaglandin_i_dehydrogenase_(nadp+)_activity
GO:0047522	15_oxoprostaglandin_13_oxidase_activity
GO:0009979	16:0_monogalactosyldiacylglycerol_desaturase_activity
GO:0102937	16_alpha_hydroxygypsogenate_udp_glucosyltransferase_activity
GO:0047455	16_alpha_hydroxyprogesterone_dehydratase_activity
GO:0047005	16_alpha_hydroxysteroid_dehydrogenase_activity
GO:0103002	16_hydroxypalmitate_dehydrogenase_activity
GO:0047524	16_hydroxysteroid_epimerase_activity
GO:0030768	16_methoxy_2,3_dihydro_3_hydroxytabersonine_n_methyltransferase_activity
GO:0052908	16s_rrna_(adenine(1518)_n(6)/adenine(1519)_n(6))_dimethyltransferase_activity
GO:0052914	16s_rrna_(guanine(1207)_n(2))_methyltransferase_activity
GO:0036308	16s_rrna_(guanine(1516)_n(2))_methyltransferase_activity
GO:0052913	16s_rrna_(guanine(966)_n(2))_methyltransferase_activity
GO:0102645	17(e)_cheilanthenediol_synthase_activity
GO:0047006	17_alpha,20_alpha_dihydroxypregn_4_en_3_one_dehydrogenase_activity
GO:0047442	17_alpha_hydroxyprogesterone_aldolase_activity
GO:0044594	17_beta_hydroxysteroid_dehydrogenase_(nad+)_activity
GO:0072582	17_beta_hydroxysteroid_dehydrogenase_(nadp+)_activity
GO:0072555	17_beta_ketosteroid_reductase_activity
GO:0103069	17_hydroxyprogesterone_21_hydroxylase_activity
GO:1900883	17_methylnonadec_1_ene_biosynthetic_process
GO:1900882	17_methylnonadec_1_ene_metabolic_process
GO:0047162	17_o_deacetylvindoline_o_acetyltransferase_activity
GO:1903880	17alpha_hydroxyprogesterone_binding
GO:0102070	18_hydroxyoleate_peroxygenase_activity
GO:1900881	18_methylnonadec_1_ene_biosynthetic_process
GO:1900880	18_methylnonadec_1_ene_metabolic_process
GO:0052909	18s_rrna_(adenine(1779)_n(6)/adenine(1780)_n(6))_dimethyltransferase_activity
GO:0102384	19_o_beta_glucopyranosyl_steviol_glucosyltransferase_activity
GO:0031147	1_(3,5_dichloro_2,6_dihydroxy_4_methoxyphenyl)hexan_1_one_metabolic_process
GO:0071886	1_(4_iodo_2,5_dimethoxyphenyl)propan_2_amine_binding
GO:0003949	1_(5_phosphoribosyl)_5_[(5_phosphoribosylamino)methylideneamino]imidazole_4_carboxamide_isomerase_activity
GO:0102871	1_16:0_2_18:1_phosphatidylcholine_desaturase_activity
GO:0102874	1_16:0_2_18:2_digalactosyldiacylglycerol_desaturase_activity
GO:0102872	1_16:0_2_18:2_phosphatidylcholine_desaturase_activity
GO:0102257	1_16:0_2_18:2_phosphatidylcholine_sn_1_acylhydrolase_activity
GO:0102873	1_18:1_2_16:0_digalactosyldiacylglycerol_desaturase_activity
GO:0102834	1_18:1_2_16:0_monogalactosyldiacylglycerol_acyl_lipid_omega_6_desaturase_activity
GO:0102549	1_18:1_2_16:0_monogalactosyldiacylglycerol_lipase_activity
GO:0102657	1_18:1_2_16:0_monogalactosyldiacylglycerol_palmitoyl_lipid_7_desaturase_activity
GO:0102850	1_18:1_2_16:0_phosphatidylglycerol_omega_6_desaturase_activity
GO:0102654	1_18:1_2_16:0_phosphatidylglycerol_trans_3_desaturase_activity
GO:0102836	1_18:1_2_16:1_monogalactosyldiacylglyceroldesaturase_activity
GO:0102838	1_18:1_2_16:2_monogalactosyldiacylglycerol_desaturase_activity
GO:0102842	1_18:1_2_16:2_monogalactosyldiacylglycerol_desaturase_activity_(sn2_16:3_forming)
GO:0102841	1_18:1_2_16:2_monogalactosyldiacylglycerol_synthase_activity
GO:0102853	1_18:1_2_18:1_sn_glycerol_3_phosphocholine_desaturase_activity
GO:0102855	1_18:1_2_18:2_phosphatidylcholine_desaturase_activity
GO:0102859	1_18:1_2_18:2_phosphatidylcholine_desaturase_activity_(sn2_18:3_forming)
GO:0102860	1_18:1_2_18:2_phosphatidylcholine_synthase_activity
GO:0102857	1_18:1_2_18:3_phosphatidylcholinedesaturase_activity
GO:0102655	1_18:1_2_trans_16:1_phosphatidylglycerol_desaturase_activity
GO:0102835	1_18:2_2_16:0_monogalactosyldiacylglycerol_desaturase_activity
GO:0102843	1_18:2_2_16:0_monogalactosyldiacylglycerol_desaturase_activity_(sn2_16:1_forming)
GO:0102851	1_18:2_2_16:0_phosphatidylglycerol_desaturase_activity
GO:0102837	1_18:2_2_16:1_monogalactosyldiacylglycerol_desaturase_activity
GO:0102844	1_18:2_2_16:1_monogalactosyldiacylglycerol_desaturase_activity_(sn2_16:2_forming)
GO:0102839	1_18:2_2_16:2_monogalactosyldiacylglycerol_desaturase_activity
GO:0102840	1_18:2_2_16:3_monogalactosyldiacylglycerol_desaturase_activity
GO:0102854	1_18:2_2_18:1_phosphatidylcholine_desaturase_activity
GO:0102861	1_18:2_2_18:1_phosphatidylcholine_desaturase_activity_(sn2_18:2_forming)
GO:0102848	1_18:2_2_18:2_digalactosyldiacylglycerol_desaturase_activity
GO:0102875	1_18:2_2_18:2_monogalactosyldiacylglycerol_desaturase_activity
GO:0102856	1_18:2_2_18:2_sn_glycerol_3_phosphocholine_desaturase_activity
GO:0102862	1_18:2_2_18:2_sn_glycerol_3_phosphocholine_desaturase_activity_(sn2_18:3_forming)
GO:0102849	1_18:2_2_18:3_digalactosyldiacylglycerol_desaturase_activity
